latitude|longitude|address|uuid|alias
-23.20594|131.91022|27 Puntungka Cres, Papunya |1ceed5cd-5cf9-4af0-ac0b-5f443d942573|strategy-magnetic
-23.2661829233591|131.2726935151333|20 Kelly Rd, Mount Liebig |2ce100e6-6e42-46a3-9194-0b94f11d2ebb|confound-unskilled
-23.942242943946233|132.77990217185416|27 Tjalkabota Rd Hermannsburg |1a0e620e-dfba-4a26-9182-72b7fa7e9fba|cavalier-slouchy
-23.680605|133.868324|NR HEAD ST BRAITLING|c946f156-eb19-41a5-9092-5124f0683aa8|krypton-dismay
-23.710225|133.859871|32 FLYNN SUPERMARKET GILLEN|a9d38143-2b03-4497-ab57-700fa31a7a75|headboard-boaster
-23.685084|133.873887|NR TEETKENS AVE BRAITLING|7fa329b9-efb0-4c8e-afc1-2b43b4cfa814|shimmy-napping
-23.69734|133.87889|771 - 24 RAILWAY TCE,ALICE SPRINGS NT 870 AU|177fe150-3b26-4ca0-af10-b8350d4edae0|bleach-footman
-23.697372|133.879059|24 Railway Tce Alice Springs |fa9074a5-6c55-41b8-86c6-4ba5c0cc0a69|murky-crowd
-23.698305|133.880388|27 BATH O/S POLICE STATION ALICE SPRINGS|7520b8b3-2cff-49ce-a0b6-8af89ea97e10|gathering-purple
-23.700041|133.880394|36 Hartley St Alice Springs |cc7a0e98-e5dd-4e9c-86d6-6b9cacddb69e|stoke-willed
-23.7133|133.87527|41 Gap RdAlice Springs NT 0870|27b3a2c5-8b68-4b26-83c0-6ca2a6d74114|reacquire-important
-23.700542|133.881468|45 Gregory Tce Alice Springs |0704e0f2-6734-4a2d-a5fb-a47b446cca80|caress-tweed
-23.699446|133.882988|51 Todd St Alice Springs |ffaddac2-28ab-405a-a726-eb2120d997b3|banshee-dicing
-23.69743|133.88393|64 TODD O/S RED CENT PHARM|1563a468-8d83-4c09-990e-76c6267a7e73|during-armory
-23.69732|133.88456|1 Todd StAlice Springs NT 0870|882a770b-1ff2-4d57-879b-316c456acf39|deputize-trickle
-23.696182|133.890059|9 Lindsay Ave East Side |ab4e9192-bb3f-4f45-ba3f-6224057c677f|overripe-suitably
-23.700762|133.90016|70 SPEARWOOD NR GREVILLEA DR SADADEEN|ffa0ef22-b705-4efe-add5-caaffa5c51c5|moonwalk-sphinx
-24.134461|134.371102|17 Village Rd, Santa Teresa |7dbee03e-7537-4583-8047-841ac30e123e|visitor-prompter
-29.01164|134.75826|8 ITALIAN CLUB RD, COOBER PEDY, SA, 5723, AU|80592a1b-d89e-4e54-a274-85ef18326693|starch-bridged
-29.0153|134.75494|0 HUTCHISON ADJ AMPOL ROADHSE COOBER PEDY|7a993419-e72b-4043-94fb-778dfdd565d9|drum-unmovable
-25.899364|139.351755|69 Adelaide St Birdsville |a3b7c107-dfc2-4084-8fb4-d9da3773f2fb|landlady-distract
-20.7263731|139.488522|20 West St Mount Isa |b962eff7-0d5c-4065-b494-b8992e1ae596|unfair-dab
-20.73075|139.49277|30 Camooweal St, Mount Isa |a274c5e9-5230-48ec-aeaa-3a9e55cf7dcd|tipper-appendix
-20.727854|139.491507|2 MILES NEAR CNR ISA ST MOUNT ISA|cca8a470-3c2b-486d-8936-4dba32606bac|rubbing-malformed
-20.725598|139.491628|23 Miles St Mount Isa |e1ea96da-6503-4916-baef-599ec7a1a65e|reenter-filling
-20.726531|139.491777|NEAR CNR MARIAN ST MOUNT ISA|3505f2e5-9844-48c6-9360-2ec4425b24c2|actress-armoire
-20.72593|139.49217|22 MILES ST, MT ISA , QLD 4825|65ce1a83-30d1-43ee-8517-1168f064aea1|strobe-manifesto
